"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"148","bonus","Do you think this one can sense things nearby?",19,"BI2A00022","definitely NO",-2.5,12330,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"149","bonus","Do you think this one can think?",20,"BI2A00009","maybe YES",0.5,13267,"p09",6.378082192,"14:42","set4","male","always","all animals can think",NA,6y 0m 136d 12H 0M 0S
"150","bonus","Do you think this one can feel pain?",21,"BI2A00023","skip",NA,14201,"p09",6.378082192,"14:42","set4","male","always","maybe both",NA,6y 0m 136d 12H 0M 0S
"151","bonus","Do you think this can feel happy?",22,"BI2A00039","definitely NO",-2.5,18446,"p09",6.378082192,"14:42","set4","male","always","does not",NA,6y 0m 136d 12H 0M 0S
"152","practice",NA,1,"apple_1","skip",NA,19075,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"153","practice",NA,2,"apple_2","skip",NA,3398,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"154","practice",NA,3,"apple_3","skip",NA,20107,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"155","practice",NA,4,"apple_1","skip",NA,9592,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"156","study","do you think this one is an animal?",5,"BI2A00005","definitely YES",2.5,17821,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"157","study","do you think this one is an animal?",6,"BI2A00019","definitely YES",2.5,12970,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"158","study","do you think this one is an animal?",7,"BI2A00027","definitely NO",-2.5,19251,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"159","study","do you think this one is an animal?",8,"BI2A00035","definitely NO",-2.5,5438,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"160","study","do you think this one is an animal?",9,"BI2A00036","definitely NO",-2.5,24439,"p10",6.668493151,"15:00","set3","male","always","kind of looks like wool",NA,6y 0m 242d 12H 0M 0S
"161","study","do you think this one is an animal?",10,"BI2A00026","maybe NO",-0.5,31973,"p10",6.668493151,"15:00","set3","male","always","kind of looks like hay",NA,6y 0m 242d 12H 0M 0S
"162","study","do you think this one is an animal?",11,"BI2A00044","definitely NO",-2.5,3801,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"163","study","do you think this one is an animal?",12,"BI2A00010","probably YES",1.5,10225,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
"164","study","do you think this one is an animal?",13,"BI2A00018","definitely NO",-2.5,10680,"p10",6.668493151,"15:00","set3","male","always","",NA,6y 0m 242d 12H 0M 0S
